titulo	numero_expediente	tipo_contrato	estado_licitacion	importe_licitacion	valor_estimado_contrato	fecha_limite_presentacion	organo_contratacion	enlace	codigo_cpv	procedimiento_contratacion	forma_presentacion	duracion_contrato	financiacion_ue	fecha_formalizacion	sistema_contratacion	tramitacion	descripcion	pdf	fuente	fecha_proceso	provincia_ejecucion	comunidad_autonoma_ejecucion	topicos_lda	clasificacion	palabras_tecnologicas_detectadas	palabras_descartadas_detectadas
ASISTENCIA TÉCNICA PARA LA COORD. SEGURIDAD Y SALUD DE LA PROMOCIÓN SE-0903	CONTR 2026 0000271551	Servicios	Publicada	11705.8	14046.96	2026-09-04	Agencia de Vivienda y Rehabilitación de Andalucía (AVRA)	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=986017	71000000-8 Servicios de arquitectura, construcción, ingeniería e inspección	Abierto simplificado	Electrónica	18 meses	NotFound	2100-12-31	NotFound	Ordinario	ASISTENCIA TÉCNICA RELATIVA  LA COORD. DE SEGURIDAD Y SALUD DE LA OBRA CORRESPONDIENTE AL PROYECTO BÁSICO Y DE EJECUCIÓN DE REHABILITACIÓN DE EDIFICIO DE 30 VDAS EN (C3B2), POLIGONO SUR, SEVILLA. EXPTE G3 2026/001165	and_pliego_prescripciones_420671.pdf	Andalucía	2026-08-18	Sevilla	Andalucia	obra, seguridad, salud, contrato, trabajo, punto, ejecucion, vivienda, avra, plan (1.0)	No tecnológica		rehabilitacion, infraestructura, seguro
0001281/2025 SERVICIO DE TERAPIAS RESPIRATORIAS DOMICILIARIAS A LOS PACIENTES BENEFICIARIOS DEL SERVICIO ANDALUZ DE SALUD DE LOS CENTROS SANITARIOS AGRUPADOS EN LA CENTRAL PROVINCIAL DE COMPRAS DE CÁDIZ, MEDIANTE PROCEDIMIENTO ABIERTO Y PRESENTACIÓN ELECTRÓNICA DE OFERTAS.	CONTR 2026 0000103905	Servicios	Publicada	34502081.25	69004162.5	2026-08-24	Servicio Andaluz de Salud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=976812	85111700-7 Servicios de oxigenoterapia	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	SERVICIO DE TERAPIAS RESPIRATORIAS DOMICILIARIAS A LOS PACIENTES BENEFICIARIOS DEL SERVICIO ANDALUZ DE SALUD DE LOS CENTROS SANITARIOS AGRUPADOS EN LA CENTRAL PROVINCIAL DE COMPRAS DE CÁDIZ, MEDIANTE PROCEDIMIENTO ABIERTO Y PRESENTACIÓN ELECTRÓNICA DE OFERTAS.	and_pliego_prescripciones_401055.pdf	Andalucía	2026-08-18	Cadiz	Andalucia	paciente, equipo, servicio, empresa, sistema, tratamiento, salud, presion, debera, necesario (1.0)	Tecnológica	software, tecnologia, datos, servidores, virtualizacion, ciberseguridad	reparacion, infraestructura, limpieza, desinfeccion, bar, alimentacion, seguro
SERVICIO DE MANTENIMIENTO DEL MUSEO DE ALMERÍA	CONTR 2026 0000106965	Servicios	Publicada	42458.05	84916.1	2026-09-04	Delegación Territorial de Turismo, Cultura y Deporte en Almería	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=983065	50700000-2 Servicios de reparación y mantenimiento de equipos de edificios50711000-2 Servicios de reparación y mantenimiento de equipos eléctricos de edificios77311000-3 Servicios de mantenimiento de jardines y parques	Abierto simplificado	Electrónica	12 meses	NotFound	2100-12-31	NotFound	Ordinario	SERVICIO DE MANTENIMIENTO DEL MUSEO DE ALMERÍA	and_pliego_prescripciones_420140.pdf	Andalucía	2026-08-18	Almeria	Andalucia	mensual, revision, trimestral, verificacion, mantenimiento, verificar, equipo, instalación, revisar, semestral (1.0)	Tecnológica	redes	reparacion, infraestructura, limpieza, mobiliario, obra_civil
CONTRATACIÓN  SERVICIO DE IMPARTICIÓN DE ACCIONES FORMATIVAS CPFE MONTILLA	CONTR 2026 0000078911	Servicios	Publicada	746992.65	746992.65	2026-08-28	Delegación Territorial de Empleo, Empresa y Trabajo Autónomo en Córdoba	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=981603	80530000-8 Servicios de formación profesional	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	CONTRATACIÓN DE SERVICIO DE IMPARTICIÓN DE ACCIONES FORMATIVAS DE FORMACIÓN PARA EL EMPLEO EN EL CENTRO PÚBLICO DE MONTILLA DURANTE LOS AÑOS 2026-2027	and_pliego_prescripciones_415047.pdf	Andalucía	2026-08-18	Cordoba	Andalucia	formacion, formativo, profesional, empresa, empleo, hora, accion, adjudicatario, alumnado, persona (1.0)	Tecnológica	software, tecnologia, automatizacion	seguro, poliza
Servicio de limpieza de oficinas de la Agencia IDEA en Jaén	CONTR 2026 0000231229	Servicios	Publicada	23594.21	47188.42	2026-08-25	Agencia de Innovación y Desarrollo de Andalucía	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=981882	90919200-4 Servicios de limpieza de oficinas	Abierto simplificado abreviado	Electrónica	12 meses	NotFound	2100-12-31	NotFound	Ordinario	Servicio de limpieza de oficinas de la Agencia IDEA en C/ Carrera de Jesús 9 bajo de Jaén	and_pliego_prescripciones_415895.pdf	Andalucía	2026-08-18	Jaen	Andalucia	limpieza, adjudicatario, servicio, idea, personal, empresa, contrato, fondo, trabajo, necesario (1.0)	No tecnológica		reparacion, limpieza, desratizacion, desinfeccion, desinsectacion, mobiliario, vestuario, seguro, obra_civil
Servicio de limpieza de oficinas de la Agencia IDEA en Sevilla	CONTR 2026 0000231391	Servicios	Publicada	11979.27	23958.54	2026-08-27	Agencia de Innovación y Desarrollo de Andalucía	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=981875	90919200-4 Servicios de limpieza de oficinas	Abierto simplificado abreviado	Electrónica	12 meses	NotFound	2100-12-31	NotFound	Ordinario	Servicio de limpieza de las oficinas de la Agencia IDEA en C/ Adriano del Valle 7, local 4 de Sevilla	and_pliego_prescripciones_415872.pdf	Andalucía	2026-08-18	Sevilla	Andalucia	limpieza, adjudicatario, servicio, personal, empresa, contrato, necesario, desarrollo, frecuencia, trabajo (1.0)	No tecnológica		reparacion, limpieza, desratizacion, desinfeccion, desinsectacion, mobiliario, vestuario, seguro, obra_civil
TAA7000CSV0 Mantenimiento sensores contam. MGranada y TrenBahia Cadiz	CONTR 2025 0000674660	Servicios	Publicada	101306.14	101306.14	2026-08-31	Agencia de Obra Pública de la Junta de Andalucía (AOPJA)	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=981744	51210000-7 Servicios de instalación de equipo de medida90731400-4 Servicios de seguimiento o medición de la contaminación atmosférica	Abierto simplificado	Electrónica	24 meses	NotFound	2100-12-31	NotFound	Ordinario	TAA7000CSV0 Servicios para el mantenimiento de los equipos de medición y monitoreo para el mapa de contaminación atmosférica de la Agencia de Obra Pública de la Junta de Andalucía en el Metropolitano de Granada y el Trambahía de Cádiz	and_pliego_prescripciones_415468.pdf	Andalucía	2026-08-18	Andalucia	Andalucia	cadiz, granada, metropolitano, fernandez, equipo, publicar, obra, junto, servicio, andalucia (1.0)	Tecnológica	software	infraestructura, alimentacion
Servicio de mantenimiento integral edificio 2000 del PCTH en Huelva.	CONTR 2026 0000257028	Servicios	Publicada	130378.07	260756.14	2026-09-21	Agencia de Innovación y Desarrollo de Andalucía	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=986008	50711000-2 Servicios de reparación y mantenimiento de equipos eléctricos de edificios50720000-8 Servicios de reparación y mantenimiento de calefacción central50730000-1 Servicios de reparación y mantenimiento de grupos refrigeradores	Abierto	Electrónica	24 meses	NotFound	2100-12-31	NotFound	Ordinario	SERVICIO DE MANTENIMIENTO INTEGRAL DEL EDIFICIO 2000 DEL PARQUE CIENTÍFICO Y TECNOLÓGICO DE HUELVA (PCTH)¿, PROPIEDAD DE LA AGENCIA DE INNOVACIÓN Y DESARROLLO DE ANDALUCÍA, UBICADO EN EL POLÍGONO INDUSTRIAL LA RAYA, ALJARAQUE (HUELVA)	and_pliego_prescripciones_420651.pdf	Andalucía	2026-08-18	Huelva	Andalucia	mantenimiento, contrato, verificacion, empresa, comprobacion, edificio, servicio, tecnico, instalación, revision (1.0)	Tecnológica	software, automatizacion	reparacion, limpieza, desinfeccion, bar, alimentacion, mobiliario, vestuario, seguro, obra_civil
0000558/2026 SUMINISTRO DE EQUIPAMIENTO ELECTROMÉDICO POR LOTES CON DESTINO AL SERVICIO DE OTORRINOLARINGOLOGÍA, ANESTESIA Y ANATOMÍA PATOLÓGICA DEL HOSPITAL DE ANTEQUERA, CENTRO DEL ÁREA DE GESTIÓN SANITARIA NORTE DE MÁLAGA, PERTENECIENTE AL SERVICIO ANDALUZ DE SALUD (CENTRAL PROVINCIAL DE COMPRAS DE MÁLAGA).	CONTR 2026 0000221683	Suministros	Publicada	261000.0	261000.0	2026-08-24	Servicio Andaluz de Salud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=980828	33100000-1 Equipamiento médico	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	SUMINISTRO DE EQUIPAMIENTO ELECTROMÉDICO POR LOTES CON DESTINO AL SERVICIO DE OTORRINOLARINGOLOGÍA, ANESTESIA Y ANATOMÍA PATOLÓGICA DEL HOSPITAL DE ANTEQUERA, CENTRO DEL ÁREA DE GESTIÓN SANITARIA NORTE DE MÁLAGA, PERTENECIENTE AL SERVICIO ANDALUZ DE SALUD (CENTRAL PROVINCIAL DE COMPRAS DE MÁLAGA).	and_pliego_prescripciones_412938.pdf	Andalucía	2026-08-18	Malaga	Andalucia	neto, total, gasto, resultado, valor, central, financiero, empresa, servicio, cifro (1.0)	N/S		
0000664/2025 SERVICIO DE MANTENIMIENTO DE LAS INSTALACIONES DE LOS EDIFICIOS DEL HOSPITAL REGIONAL UNIVERSITARIO DE MÁLAGA, PERTENECIENTES AL SERVICIO ANDALUZ DE SALUD MEDIANTE PROCEDIMIENTO ABIERTO	CONTR 2026 0000156727	Servicios	Publicada	5290542.31	11730284.11	2026-09-04	Servicio Andaluz de Salud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=981833	50700000-2 Servicios de reparación y mantenimiento de equipos de edificios	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	SERVICIO DE MANTENIMIENTO DE LAS INSTALACIONES DE LOS EDIFICIOS DEL HOSPITAL REGIONAL UNIVERSITARIO DE MÁLAGA, PERTENECIENTES AL SERVICIO ANDALUZ DE SALUD MEDIANTE PROCEDIMIENTO ABIERTO	and_pliego_prescripciones_415709.pdf	Andalucía	2026-08-18	Malaga	Andalucia	Sin tema	N/S		
SEGURO OBLIGATORIO DE VIAJEROS DEL SISTEMA TRANVIARIO DE JAÉN	CONTR 2026 0000183805	Privado	Publicada	40000.0	40000.0	2026-09-03	Consejería de Fomento, Articulación del Territorio y Vivienda. Secretaría General Técnica (En Transición)	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=981264	66514100-7 Seguros relacionados con el transporte66515000-3 Servicios de seguros de daños	Abierto simplificado abreviado	Electrónica	24 meses	NotFound	2100-12-31	NotFound	Ordinario	Dar cumplimiento a lo dispuesto en el R.D. 1575/1989, de 22 de diciembre, por el que se aprueba el Reglamento del seguro Obligatorio de Viajeros, en el marco de la gestión, explotación, vigilancia y mantenimiento del S.Tranviario Jaén	and_pliego_prescripciones_414988.pdf	Andalucía	2026-08-18	Jaen	Andalucia	seguro, jaen, sistema, contrato, tranviario, servicio, accidente, asegurado, obligatorio, transporte (1.0)	No tecnológica		reparacion, infraestructura, seguro, poliza
0000186/2026 SERVICIO DE ASISTENCIA TÉCNICA PARA LA ELABORACIÓN Y GESTIÓN DE LA ESTRATEGIA DE COMUNICACIÓN ONLINE, A TRAVÉS DE LOS PERFILES EN REDES SOCIALES DE LOS CENTROS SANITARIOS DEPENDIENTES DE LA CENTRAL PROVINCIAL DE COMPRAS DE MÁLAGA, PERTENECIENTES AL SERVICIO ANDALUZ DE SALUD EN LA PROVINCIA DE MÁLAGA, MEDIANTE PROCEDIMIENTO ABIERTO Y TRAMITACIÓN ELECTRÓNICA	CONTR 2026 0000252343	Servicios	Publicada	195735.28	430617.62	2026-08-31	Servicio Andaluz de Salud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=981317	79340000-9 Servicios de publicidad y de marketing	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	SERVICIO DE ASISTENCIA TÉCNICA PARA LA ELABORACIÓN Y GESTIÓN DE LA ESTRATEGIA DE COMUNICACIÓN ONLINE, A TRAVÉS DE LOS PERFILES EN REDES SOCIALES DE LOS CENTROS SANITARIOS DEPENDIENTES DE LA CENTRAL PROVINCIAL DE COMPRAS DE MÁLAGA, PERTENECIENTES AL SERVICIO ANDALUZ DE SALUD EN LA PROVINCIA DE MÁLAGA, MEDIANTE PROCEDIMIENTO ABIERTO Y TRAMITACIÓN ELECTRÓNICA	and_pliego_prescripciones_414198.pdf	Andalucía	2026-08-18	Malaga	Andalucia	empresa, servicio, centro, red, adjudicatario, contrato, profesional, comunicacion, social, trabajo (1.0)	Tecnológica	tecnologia, redes	infraestructura, eventos
CONCESION SERV CAFETERIAS CPA CARTAMA,COÍN, NERJA, RONDA,TORROX Y VELEZ MÁL	CONTR 2026 0000017241	Concesión de servicios	Publicada	0.0	284812.68	2026-08-28	Delegación Territorial de Inclusión Social, Juventud, Familias e Igualdad en Málaga	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=982785	55511000-5 Servicios de cantina y otros servicios de cafetería para clientela restringida	Restringido	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	CONCESION SERVICIO CAFETERIAS CPA CÁRTAMA, COÍN, NERJA, RONDA, TORROX Y VELÉZ- MÁLAGA	and_pliego_prescripciones_419246.pdf	Andalucía	2026-08-18	Malaga	Andalucia	servicio, persona, adjudicatario, plato, centro, industrial, acero, grande, garcia, susán (1.0)	No tecnológica		reparacion, limpieza, pan, comida, bar, mobiliario, vestuario, inclusion_social
SUMINISTRO VESTUARIO PERSONAL LABORAL DE CPM INDALO Y PIEDRAS REDONDAS 2026	CONTR 2026 0000217389	Suministros	Publicada	32339.0	32339.0	2026-09-07	Delegación Territorial de Inclusión Social, Juventud, Familias e Igualdad en Almería	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=985885	18100000-0 Ropa de trabajo, ropa de trabajo especial y accesorios	Abierto simplificado	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	Contrato de suministro del vestuario para el personal laboral de los Centros de Protección de Menores (CPM) de la Delegación Territorial de Inclusión Social, Juventud, Familias e Igualdad en Almería, ejercicio 2026	and_pliego_prescripciones_420614.pdf	Andalucía	2026-08-18	Almeria	Andalucia	personal, color, tejido, prenda, poliester, contrato, trabajo, cocina, algodon, pantalon (1.0)	No tecnológica		reparacion, limpieza, vestuario, inclusion_social
ELABORACIÓN DEUPs PUERTOS GESTIONADOS POR APPA	CONTR 2026 0000237752	Servicios	Publicada	155100.0	258500.0	2026-09-04	Agencia Pública de Puertos de Andalucía (APPA)	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=981443	71240000-2 Servicios de arquitectura, ingeniería y planificación	Abierto	Electrónica	36 meses	NotFound	2100-12-31	NotFound	Ordinario	ELABORACIÓN DE INSTRUMENTOS DE DELIMITACIÓN Y ORDENACIÓN FUNCIONAL DE LOS PUERTOS GESTIONADOS POR LA AGENCIA PÚBLICA DE PUERTOS DE ANDALUCÍA	and_pliego_prescripciones_414650.pdf	Andalucía	2026-08-18	Andalucia	Andalucia	portuario, ordenacion, delimitacion, documento, puerto, uso, directo, objeto, espacio, recinto (1.0)	N/S		
ACTUACIÓN 08.- SISTEMA DE LOGÍSTICA DE ÚLTIMA MILLA PARA MERCANCÍAS CON AUTOMATIZACIÓN AVANZADA	EJECPI2026A08	Servicios	Publicada	2198347.11	2638016.53	2026-09-28	Parque Científico y Tecnológico Cartuja, S.A.	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=981897	72212211-1 Servicios de desarrollo de software de interconectividad de plataformas72222300-0 Servicios de tecnología de la información72230000-6 Servicios de desarrollo de software personalizado72262000-9 Servicios de desarrollo de software73100000-3 Servicios de investigación y desarrollo experimental	Abierto	Electrónica	24 meses	NotFound	2100-12-31	NotFound	Ordinario	DISEÑO, DESARROLLO, Y VALIDACIÓN DE UN SISTEMA DE LOGÍSTICA DE ÚLTIMA MILLA PARA MERCANCÍAS CON AUTOMATIZACIÓN AVANZADA EN SEVILLA TECHPARK EN EL MARCO DEL PROYECTO eCitySevilla, FINANCIADO POR EL FONDO EUROPEO DE DESARROLLO REGIONAL (FEDER) ANDALUCÍA 2021-2027	and_pliego_prescripciones_415987.pdf	Andalucía	2026-08-18	Sevilla	Andalucia	sistema, debera, techpark, adjudicatario, contrato, solucion, logistico, parque, hito, sevilla (1.0)	Tecnológica	software, infraestructura_tecnologica, tecnologia, datos, inteligencia_artificial, cloud, ciberseguridad, redes, automatizacion	infraestructura, limpieza, alimentacion, vehiculos, eventos, seguro
ACTUACION A05. PILOTO DE TRANSPORTE ELÉCTRICO AUTÓNOMO O SISTEMA DE MOVILIDAD INTELIGENTE DE SEVILLA TECHPARK	EJECPI2026A05	Servicios	Publicada	3024793.39	3629752.07	2026-09-28	Parque Científico y Tecnológico Cartuja, S.A.	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=981810	34144900-7 Vehículos eléctricos72212211-1 Servicios de desarrollo de software de interconectividad de plataformas72222300-0 Servicios de tecnología de la información72230000-6 Servicios de desarrollo de software personalizado72262000-9 Servicios de desarrollo de software73100000-3 Servicios de investigación y desarrollo experimental	Abierto	Electrónica	24 meses	NotFound	2100-12-31	NotFound	Ordinario	DISEÑO, DESARROLLO, Y VALIDACIÓN DE UN SISTEMA INTELIGENTE DE MOVILIDAD SOSTENIBLE EN SEVILLA TECHPARK, EN EL MARCO DEL PROYECTO DE COMPRA PÚBLICA DE INNOVACIÓN eCitySevilla, FINANCIADO POR EL FONDO FEDER REGIONAL ANDALUCÍA 2021-2027	and_pliego_prescripciones_415809.pdf	Andalucía	2026-08-18	Sevilla	Andalucia	sistema, debera, servicio, techpark, adjudicatario, contrato, vehiculo, solucion, parque, hito (1.0)	Tecnológica	software, tecnologia, datos, inteligencia_artificial, cloud, ciberseguridad, automatizacion	infraestructura, limpieza, alimentacion, minibus, inclusion_social, eventos, seguro
PRESTACIÓN DE LOS SERVICIOS DE DESARROLLO DEL FRONTEND DE LA MIGRACIÓN TECNOLÓGICA PARA LA APLICACIÓN ME_JORA C DE LA AGENCIA DE LA CALIDAD SANITARIA DE ANDALUCÍA, PARA LA FUNDACIÓN PÚBLICA ANDALUZA PROGRESO Y SALUD M.P., POR PROCEDIMIENTO ABIERTO, SUJETO A REGULACIÓN ARMONIZADA.	1027_2026	Servicios	Publicada	110131.2	242288.64	2026-09-21	Fundación Pública Andaluza Progreso y Salud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=982624	72000000-5 Servicios TI: consultoría, desarrollo de software, Internet y apoyo72227000-2 Servicios de consultoría en integración de software72230000-6 Servicios de desarrollo de software personalizado	Abierto	Electrónica	1 año	NotFound	2100-12-31	NotFound	Ordinario	PRESTACIÓN DE LOS SERVICIOS DE DESARROLLO DEL FRONTEND DE LA MIGRACIÓN TECNOLÓGICA PARA LA APLICACIÓN ME_JORA C DE LA AGENCIA DE LA CALIDAD SANITARIA DE ANDALUCÍA, PARA LA FUNDACIÓN PÚBLICA ANDALUZA PROGRESO Y SALUD M.P., POR PROCEDIMIENTO ABIERTO, SUJETO A REGULACIÓN ARMONIZADA.	and_pliego_prescripciones_418758.pdf	Andalucía	2026-08-18	Sevilla	Andalucia	servicio, sistema, trabajo, informacion, paginar, contrato, andalucia, empresa, presente, electronico (1.0)	Tecnológica	software, tecnologia	infraestructura
Servicio público de aula matinal en los centros docentes deped. J.A.	CONTR 2026 0000190385	Servicios	Publicada	27512404.26	68868151.69	2026-08-27	Agencia Pública Andaluza de Educación	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=981554	80410000-1 Servicios escolares diversos	Abierto	Electrónica	Ver lotes	NotFound	2100-12-31	NotFound	Ordinario	Servicio público de aula matinal en los centros docentes públicos dependientes de la Consejería de Desarrollo educativo y formación profesional de la Junta de Andalucía	and_pliego_prescripciones_415026.pdf	Andalucía	2026-08-18	Andalucia	Andalucia	servicio, empresa, centro, educacion, agencia, educativo, profesional, personal, andaluz, debera (1.0)	No tecnológica		limpieza, vestuario, ludoteca, seguro
LIMPIEZA D.P. ALMERIA. RESERVADO D.A. 4ª LCSP	CONTR 2026 0000152496	Servicios	Publicada	15983.79	31967.58	2026-07-28	Instituto Andaluz de la Juventud	https://www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc-front-publico/perfiles-licitaciones/detalle-licitacion?idExpediente=980069	90919200-4 Servicios de limpieza de oficinas	Abierto simplificado abreviado	Electrónica	12 meses	NotFound	2100-12-31	NotFound	Ordinario	Servicio de limpieza, control de vectores, retirada de papel y de material fungible informático de las dependencias administrativas de la DP Almería del IAJ. Reservado D.A. 4ª LCSP	and_pliego_prescripciones_410734.pdf	Andalucía	2026-08-18	Almeria	Andalucia	limpieza, personal, servicio, adjudicatario, empresa, diario, papel, juventud, material, contrato (1.0)	No tecnológica		limpieza, desratizacion, desinfeccion, desinsectacion, mobiliario, inclusion_social
